Photo Profile;User Name;Sentimen;Sejak Comment;Comment;Jumlah Like Comment
https://lh3.googleusercontent.com/a-/ALV-UjUXyhDKnHZOhfkBIhZ0F-m5iAKhoOhNXu9Cs8DgW9KSBH8=w45-h45-p-rp-mo-ba4-br100;Kharisma Kairo;Positive;5 bulan lalu;Mallnya luass and banyak toko barang branded disini. Saking luasnya saya bingung mencari kamar mandi di mana. Untuk rooftop mall keren, ada tanaman, bunga², taman bunga matahari (tp bayar 10 ribu).;3
https://lh3.googleusercontent.com/a-/ALV-UjV-1X1mTCfN0sVOXVRXZ7hdQSHLgRUQz7tw5tTYr9I_DhA=w45-h45-p-rp-mo-ba5-br100;Aisah “Aiss”;Positive;4 bulan lalu;Mall yang lengkap, luas, nyaman betah, bersih,  go green, banyak taman, banyak playgorund, banyak jajanan banyak tempat makan. Ramah lingkungan tapi gak ramah di kantong harga-harganya soalnya mahal, barang branded semua :D …;11
https://lh3.googleusercontent.com/a-/ALV-UjWGUGg2AOIIfZ8sqj6rAnikemcxu8jdvBN3A2whvJgtBeg=w45-h45-p-rp-mo-ba6-br100;Ardian Saputro;Positive;6 bulan lalu;First time sih gua liat sawah di tengah mall. Se ndeso itu hahaha. Ya kali cuma mainan doang atau plastik itu pohon ternyata beneran lho. …;3
https://lh3.googleusercontent.com/a-/ALV-UjUQ1W_aTIUjpBKUxGEkYeOCICzzl8rUvr0m9UYI0rXKF6g=w45-h45-p-rp-mo-ba7-br100;Febrian Bagas Charismanto;Positive;4 bulan lalu;Mall luas konsep unik dan adem banget enak, sejuk. Fasilitas oke, banyak pilihan tempat belanja sambil jalan-jalan. Banyak tempat makan, fashion dll. Minusnya jalan ke arah sini sering macet sih.;29
https://lh3.googleusercontent.com/a-/ALV-UjWV6b8ZSvihSmPRtNV2fyxrVmifa7_RNnp2ZJUpC4xdnHo=w45-h45-p-rp-mo-ba5-br100;Ridhan S;Positive;4 bulan lalu;Salah satu mall di bandung yang paling bagus sih PVJ ini, Karena ukuran nya yang luas banget dan banyak banget toko toko nya lengkap, karena saking luas nya sering banget lupa posisi parkir atau jalan. …;5
https://lh3.googleusercontent.com/a-/ALV-UjU3lLOhxzKWTWlppWE0o5d5FaHpsNWUhEsOvfJ6yfQQCyg=w45-h45-p-rp-mo-ba6-br100;Agis Baswara;Positive;2 minggu lalu;Kesini ada acara edu fair. Cari sekolah buat anak sekalian jalan-jalan. Ada Darul Hikam disini. Mallnya bagus dan luas. Ada air terjun di SL. Mushola lantai dasar selalu penuh. Mushola di SL kosong harus pakai Lift ke P12.;0
https://lh3.googleusercontent.com/a-/ALV-UjWwchl6mvlfkScI7sl-1uC-O_In3tRp2pKdoMndLHwZi_c=w45-h45-p-rp-mo-ba4-br100;Slamet Riyanto;Positive;4 bulan lalu;Dari dulu sering kesini emang luas banget dan ada aja keseruannya, apalagi kalo weekend ramaai tapi sekarang parkiran juga udah luas jadi enak enak aja;0
https://lh3.googleusercontent.com/a-/ALV-UjUX4gEDID9j17np-XzFSvo9OarWMZZjmmt64mWjx9LcaV6b=w45-h45-p-rp-mo-ba4-br100;Marzuki Rahman;Positive;3 bulan lalu;mall yang konsepnya cukup beda dari yang lain yang biasanya hanya indoor mall ini banyak tempat outdoor nya dan banyak aktivitas yang bisa dilakukan selain belanja bahkan bisa melihat  lihat taman bunga, melihat banyak hewan, banyak taman …;3
https://lh3.googleusercontent.com/a/ACg8ocJ2riNEbqMJ7afZeL9lofvodORjhjmJrz-Exl5fdbU9fA=w45-h45-p-rp-mo-br100;Putri Shinta Aprilia;Positive;sebulan lalu;Alternatif wisata mall.. 🤭;0
https://lh3.googleusercontent.com/a-/ALV-UjWgLv00dueJzKHi4RIKIBerZc_MkKLm-8Yh7_cOmFljOnsY=w45-h45-p-rp-mo-ba5-br100;Rifqi Irvansyah;Positive;2 bulan lalu;Mall paling the best deh. Konsep outdoornya asik banget, bikin betah. Ditambah suasana kota bandung yang adem, love it.;14
https://lh3.googleusercontent.com/a-/ALV-UjVhx5l07LFztKmLIXKnq_OLfKEtmUoN7Jhr2x6WBKztqh-j=w45-h45-p-rp-mo-ba3-br100;Ghina Alya Sakinah;Positive;4 bulan lalu;Bagus mallnya, bagian dalemnya juga keren lantainya pake batu jadi enak diliat aja gituu adem, asri (tapi ga seluruhnya ya) tempatnya brand mahal sii;3
https://lh3.googleusercontent.com/a-/ALV-UjUx59Vca-3yPzKbzZgMsqKulEp5o2LPZ10BuhvW-BN_HcTI=w45-h45-p-rp-mo-ba5-br100;FioRajendra;Positive;5 bulan lalu;Mall yang sangat besar dan terkenal di bandung, cocok sekali untuk shopping karena banyak tenant disana, ada bioskop nya juga di lantai atas;19
https://lh3.googleusercontent.com/a-/ALV-UjVzVdHVhtovLMGiAbqR0hshgUswJ3U4yMdiCD2QRFZZnd4=w45-h45-p-rp-mo-ba4-br100;RIRIN INDAH SARI;Positive;sebulan lalu;Tempat belanja barang barang branded yang Nice. Food courtnya juga nyaman... Ada tempat ice skating nya, tempat bermain anak anak...;0
https://lh3.googleusercontent.com/a-/ALV-UjWOGf0PwseePYxaGMt9vJxt5hkbBOil1lpm1ELWZ4sDZQ=w45-h45-p-rp-mo-ba3-br100;Tika Kartikawati;Positive;sebulan lalu;Kalo udah usum2 tertentu suka ada dekorasi2 yang menarik. Seperti tema bulan ini yaitu halowen. Disini tempat belanja barang2 branded yang cukup lengkap dibanding mall2 lain di bandung. Konsepnya menarik berasa bukan di dalam mall.;0
https://lh3.googleusercontent.com/a-/ALV-UjUHQrUXX82JBvapXEJz5he0vjUrGFpz7RnmSPVwy4BBLfQ=w45-h45-p-rp-mo-ba5-br100;haikal aldebaran;Positive;4 bulan lalu;Mall yg tetap jadi favorit sampe sekarang. Produk fashion banyak, produk kecantikan, keperluan anak, tempat maen anak, ada bioskop CGV, tempat makan banyak dan ada area indoor yg luas jadi seneng banget jalan2 disana. Pas kesana lagi ada …;0
https://lh3.googleusercontent.com/a-/ALV-UjVtpMgononBd7tKO9dFeuzWSIECuBtPlrf6Uf7qXwl-ig=w45-h45-p-rp-mo-ba2-br100;Mugi Aris;Positive;4 bulan lalu;Tempatnya luas dan bagus banget, Bandung keren banget, yess akhirnya punya foto di Paris Van Jaya, bagus loh foto2 disana …;0
https://lh3.googleusercontent.com/a-/ALV-UjXxxBJ8lifTe6sjqv25p8pXjNrsa6Mw623ruUwtvApBtrw=w45-h45-p-rp-mo-ba3-br100;Salsa Yunika R;Positive;2 bulan lalu;mall terfavorit di Bandung! aku suka konsepnya, parkiran banyak, toiletnya bagus, banyak banget store yang bisa dikunjungi...;8
https://lh3.googleusercontent.com/a-/ALV-UjVwxcGOH7-HHfU3lQbvCAud9A52josiiNHUyNIttwkpBg=w45-h45-p-rp-mo-ba4-br100;Tri Yuliwanda;Positive;5 hari lalu;Tempatnya keren. Banyak spot foto. Tapi krn ini mall utk barang branded, jadi valuenya agak high sich;0
https://lh3.googleusercontent.com/a-/ALV-UjXFXq0AsEU-6R2ASvNZLiIDenvz-ZfJWWZiTODMyHoLtUg=w45-h45-p-rp-mo-ba6-br100;Saripah Nur Aulia;Positive;4 bulan lalu;Mall terkenal di Bandung si ini mah. Lengkap, luas, parkiran juga luas dan aman. Saya ada pasar kreatif dan Festival Pasar Malam.;0
https://lh3.googleusercontent.com/a-/ALV-UjUZLM3SKh88Sn3WXazUc0bVOa-pAa-pxZyrX6m0hcMx1us=w45-h45-p-rp-mo-ba3-br100;Muhammad Alzaid Ponka;Positive;seminggu lalu;Konsep mallnya oke, semi semi outdoor gitu dan banyak outlet yang jual barang branded;0
https://lh3.googleusercontent.com/a-/ALV-UjVSdAp0i4Z0DQIcHhsql-HzsQnDh73z-gx4BuDrNjGwDDY=w45-h45-p-rp-mo-ba4-br100;Markonel _Jt;Positive;2 minggu lalu;Menyenangkan buat refreshing bersama keluarga... Cuman macet banget mau menuju dan keluar dr sana.. Apalagi pas weekend;0
https://lh3.googleusercontent.com/a-/ALV-UjXe9AnDPRPz-Qnvn6i6_Y5rXLy3Xd9IfV-4sNsL-CFCcQ=w45-h45-p-rp-mo-ba5-br100;Yani Septiani;Positive;6 bulan lalu;Mall besar;0
https://lh3.googleusercontent.com/a-/ALV-UjXotW78HJCJsw-9p7NAmdjj1TqHWArpV0dG0eWcp1HMotk=w45-h45-p-rp-mo-ba3-br100;Angel Regina;Positive;sebulan lalu;waktu kemarin kesini cukup ramai, sangat suka seasonnya kali ini kartun coco!! yuhhu;3
https://lh3.googleusercontent.com/a-/ALV-UjVyY0tRQAW2kJyRvRlopW2Ml2VlqxSCYHVmnyAe5mr3H8bN=w45-h45-p-rp-mo-ba4-br100;gita karina;Positive;sebulan lalu;Mall nya bagus dan lengkap menurut i bcs semua brand ada disini, apalagi toiletnya lucu bgt wkwk. Di jkt blm nemu yg spt ini🥲😂 …;0
https://lh3.googleusercontent.com/a-/ALV-UjXEaO13ysdieG0UDfr4R1tTVVMtS2uIUjPFzwyWLcolQA4=w45-h45-p-rp-mo-ba5-br100;Sukitman Aprilian (Qieth_shu);Positive;5 bulan lalu;Suasananya masih seperti dulu,,, sekarang sudah mulai ramai lagi, semenjak pandemi covid, banyak mall yang sepi, termasuk mall pvj ini, tp sekarang sudah ramai lagi,,,;3
https://lh3.googleusercontent.com/a-/ALV-UjVYEVkfQFD8f1t7nPIdtA-6kynGHbfyoTGtCtX0JdwJDg=w45-h45-p-rp-mo-ba2-br100;I_ Cammito;Positive;sebulan lalu;ini pemandangan di bawah ketika berada di lantai 6 pvj. Di dalam seperti mall2 pada biasanya, ramai, dan estetik karena ada bagian indoor nya dan yg paling penting ada ice landnya;0
https://lh3.googleusercontent.com/a-/ALV-UjUyf4wgqpwC5oNLGZ1b0gNE9-_8RygUIZhZhpjhQEMn86zZ=w45-h45-p-rp-mo-ba4-br100;Kayla&Naira Storie's;Positive;2 bulan lalu;Hallo Sahabat.. kali ini aku ke PVJ karna mau main di kidzoona.. (next review kidzoona);0
https://lh3.googleusercontent.com/a-/ALV-UjV7HdndKV5kAfECir4LHEsNiutyEZHQ7Ta78NFHiwMxRHY=w45-h45-p-rp-mo-ba4-br100;Evi Setiawati;Positive;sebulan lalu;Mall ter hits di bandung.;0
https://lh3.googleusercontent.com/a-/ALV-UjWU_MFBbMvcuuwHtDpQaN9T7CS-uYvUgWPhCuND4s4y2Ew=w45-h45-p-rp-mo-ba3-br100;Liana Fransiska;Positive;6 bulan lalu;Mall PVJ Bandung cocok buat jalan” bareng Bestie dll, nuasa mall nya juga seru dan bagus 👍 di atas nya ada bagian out door dan banyak stand” makanan / minuman cocok buat nongki” 🫶 next ada kesempatan buat ke Bandung bakalan mampir ke mall ini lagi 😊🙏 …;6
https://lh3.googleusercontent.com/a-/ALV-UjUHEwY9tSMc7N_XO68e508m9-vAwhRF4rNiG0MdTZVB1w=w45-h45-p-rp-mo-ba6-br100;Windy Rizki;Positive;7 bulan lalu;Month of visit: April 2023;0
https://lh3.googleusercontent.com/a-/ALV-UjVWLZ28n4H4RE4uLKuc0m_JUg8eZeY-E6eaoB8SCe_jVFDK=w45-h45-p-rp-mo-ba5-br100;Kost Eksekutif Dutamas Batam;Positive;sebulan lalu;Bandung Paris Van Java. Konsepnya kayak : Roermond di Belanda atau Seravalle di Italy atau Johor Premium Oulet di Genting ... Barang2 Branded. Ada cafe cafenya untuk nongkrong nongkrong. Konsepnya ada outdoor dan indoor. Ada taman tamannya …;9
https://lh3.googleusercontent.com/a/ACg8ocIy41EHX3ZfSXtosxqpRht9Jc9pbuPD06EoC5cVpXGV=w45-h45-p-rp-mo-ba4-br100;Alissa Fariztina;Positive;7 bulan lalu;PVJ itu mall yang tergolong mewah banget di Bandung. Konsep mall nya unik, semi outdoor (indoor dan outdoor) jarang banget ada mall seperti ini. …;10
https://lh3.googleusercontent.com/a-/ALV-UjVLVkzounjx3kw0Dgiv1hH5TEajnBVC2DcXloKQjMAJ6nc=w45-h45-p-rp-mo-ba4-br100;Aprilia Puspitasari;Positive;5 bulan lalu;Tampatnya nyaman, bersih, dan adem. Tidak ramai karna kebetulan datangnya hari weekday sih. Walaupun tempatnya agak membingungkan tp untuk restonya cukup lengkap. Sempet ketaman mataharinya dipaling atas bayar 10k. Thebesttt mall.;0
https://lh3.googleusercontent.com/a-/ALV-UjVoz4hykcj-3YRZZU92loNsJZQzg1y73bPrVCqDBYBL6taf=w45-h45-p-rp-mo-ba6-br100;Wahyu Winarto;Positive;5 bulan lalu;Selalu menyenangkan berjalan di Paris Van Java Supermall. Menikmati desain pertokoan dengan suasana eropa sembari berbelanja dan memuaskan wisata kuliner. Mall yang didirikan tahun 2006 ini termasuk yang mampu bertahan dari pandemi dan …;0
https://lh3.googleusercontent.com/a-/ALV-UjUR_CsMH-Iz6DA2zq4zKrylRrxE4pvjHS4LPdRZ_m8q1T0=w45-h45-p-rp-mo-ba6-br100;bodia nikah;Positive;5 bulan lalu;mall dengan tenant brand brand ternama;0
https://lh3.googleusercontent.com/a-/ALV-UjXi8Eo8-ZFq-Zb9k7LyhaT5ZdDOWP9ECIuLzvlb-bVKVjM=w45-h45-p-rp-mo-ba3-br100;Indah Kania;Positive;sebulan lalu;Mall nya sangat bagus, barang yg dijual juga berkualitas dengan penataan yg mewah serta suasana yg nyaman;0
https://lh3.googleusercontent.com/a-/ALV-UjURl7BsqbMjYFPmHwCfSwrEhyW8JF80sYbym8yAINW3hUQ=w45-h45-p-rp-mo-br100;Nurfitriyanti;Positive;sebulan lalu;Seseru itu...berada di mall kota tapi masih bisa liat burung burung yang cantik....PVJ tempatnya 😍😍 …;0
https://lh3.googleusercontent.com/a-/ALV-UjVNS9oKoWD4_WilVMxXyqutq31n8ufygByAAOL1RAgjbMI=w45-h45-p-rp-mo-ba6-br100;Edi Prast;Positive;8 bulan lalu;Mall yang cukup besar dan luas.;0
https://lh3.googleusercontent.com/a/ACg8ocKHhwyvEe7Rbrbdr3WtbB5trq2Gexd3TtiqxQuIyR0y=w45-h45-p-rp-mo-ba4-br100;anis rengganis;Positive;sebulan lalu;Mall terlengkap di bandung dan ada mini garden di rooftop nya.;10
https://lh3.googleusercontent.com/a-/ALV-UjU-2qm_yKVy9oe2yeUuWMWFJWPhZup9W8_fw4BHH1JnH51w=w45-h45-p-rp-mo-ba6-br100;handoko santoso;Positive;9 bulan lalu;Tempat belanja dan makan di Bandung yang terkenal, banyak toko2 barang branded, kue-kue, fashion, elektronik, kosmetik, furniture, potong rambut, gadget, apple store, sogo, perhiasan, jam tangan, sepatu, sandal snack, minuman, chasing hp, …;32
https://lh3.googleusercontent.com/a-/ALV-UjUqcYzO3PAz3x7BdTZ26Y93a05m2TMepwT3yh0OkLuLs1I=w45-h45-p-rp-mo-ba3-br100;Nurul Annisya;Positive;5 bulan lalu;Mall paling rame kalau weekend;0
https://lh3.googleusercontent.com/a-/ALV-UjWk13-U9z-HsHb8mIwnRVt6hkIJIXZ03jvC6KRnQeKITCFT=w45-h45-p-rp-mo-ba3-br100;Aurell Agustine;Positive;sebulan lalu;Tempatnya bagus, terutama di resort level. Banyak Store branded;0
https://lh3.googleusercontent.com/a-/ALV-UjUBVXucPdH0HKegvclR6FwUnhoOyKXnDZ8OPUTcn0GGTCs=w45-h45-p-rp-mo-ba4-br100;Kumala Dwi;Positive;3 minggu lalu;Rooftopnya ada kebun dan air terjun buatan, arena ice skating, dan area bermain anak, unik banget;0
https://lh3.googleusercontent.com/a-/ALV-UjUog8Bvn5sFubYJn6DyMc43bvHMe1QLXufLWsYI3n9TO4g=w45-h45-p-rp-mo-ba5-br100;Dens Rachman;Positive;6 bulan lalu;Salah satu mall terbesar di kota bandung, banyak brand brand fashion ternama buka toko disini, ada uniqlo, vans, melisa, h&m, nike, billabong, lego, max dan yg lainnya. …;0
https://lh3.googleusercontent.com/a-/ALV-UjW1TlOk-9I839LxuK_n5XCs6OhIM_8mhi8mkMX6pFz5_yU=w45-h45-p-rp-mo-ba6-br100;My Life YM;Positive;3 bulan lalu;Mall favorite di Bandung.  Mall nya cukup luas, banyak brand terkenal disini.;11
https://lh3.googleusercontent.com/a-/ALV-UjXuUw1uMxYyqO6L6HmQVLpV4pXY3FzFOsv25Q8bt9Y0N2s=w45-h45-p-rp-mo-ba5-br100;Belavita DJ;Positive;11 bulan lalu;Udah lama banget nggak ke sini dan udah banyak yg berubah. Area parkir ada di basement, tapi ada outdoor parking juga. Beberapa spot parking ditujukkan utk small cars only. Untuk ATM center letaknya di lantai paling bawah. Food area ada di lantai bawah, meskipun ada beberapa tenants yg tutup tapi masih cukup ramai.;0
https://lh3.googleusercontent.com/a-/ALV-UjWRE0hiyUvH630m6ezWcVypn6jT3FK0Y4oNIaXk02a7Pa8=w45-h45-p-rp-mo-ba3-br100;Sarah Annisa;Positive;11 bulan lalu;Mall dengan konsep unik dan down to earth. Saya suka area taman bunga di roof top yang cocok untuk santai keluarga di sore hari. Tempatnya sepi dan cantik, aneh juga saha belum pernah lihat konten influencer bahas taman ini. …;6
https://lh3.googleusercontent.com/a-/ALV-UjUkF7FNtmMlHkbhhXX9uNM6l36bEz_AD7LmKKPfRrfWxe4=w45-h45-p-rp-mo-ba3-br100;Sylvalest;Positive;6 bulan lalu;Wort it bnget untuk ngadain acara ulang tahun anak di kidzoona tamu undangan bisa dapet jatah main plus pendamping juga, acara dipandu dengan meriah, hampers ultah dan cupcake juga udah include plus tambahan dekor ya juga bagus,;0
https://lh3.googleusercontent.com/a-/ALV-UjXISMliKOPGTeR_QCP8Tsbg9qPhbywevplIPpjo5Gt30t8=w45-h45-p-rp-mo-ba6-br100;wahyudi imron;Positive;6 bulan lalu;Good mall, bnyak arena mainan anak2, satu2nya yg ada ice skating. Di lantai atas ada air terjun 👍. Musholla nya juga bagus …;9
https://lh3.googleusercontent.com/a-/ALV-UjVGIGbGyQhueAc4VGyW_eGaX6wmYa3g7b4j9_5pbnsyDl8=w45-h45-p-rp-mo-ba5-br100;Ira SW;Positive;3 hari lalu;Makin kesini mallnya makin rame tapi ya gitu² aja sih sebenernya;0
https://lh3.googleusercontent.com/a-/ALV-UjWZKi4mWW6ShvwT2LkYvHjAIgxF5G-TBEr3Gto3QtBHWLs=w45-h45-p-rp-mo-ba2-br100;Wardana;Positive;sebulan lalu;Mallnya keren banyak event seru dan ada taman serta air terjunnya 👍🏼 …;0
https://lh3.googleusercontent.com/a-/ALV-UjVCn6O9rvwHO3YM2Mlz5MMB0hDiIHC4KBSv9_xEgTd0ifU=w45-h45-p-rp-mo-ba3-br100;Kaha;Positive;sebulan lalu;ada tempat katsu kari yang enak di pvj, selalu lupa namanya tapi selalu makan disana kalo ke pvj. oh yaparkiran motor pvj selalu penuh dannn lewat tempat sampah i mean😭😭 …;0
https://lh3.googleusercontent.com/a-/ALV-UjXzq2o39VW3bbOcYLNZ-lX__mkuYZCSyQP_k1ipOPVFyePA=w45-h45-p-rp-mo-ba4-br100;Liorde Sien;Positive;6 bulan lalu;Mall semi-outdoor.;0
https://lh3.googleusercontent.com/a-/ALV-UjX-N9sO3TcrXe9ND_w0Qy3wyU1Pk3g2y4Ed_vXCQWBECAs=w45-h45-p-rp-mo-ba4-br100;Blackmen id;Positive;4 bulan lalu;Mantap abissss, buat abisin duit, tapi seru, enak nya malam ya gaesss, penerangan nya bagus;2
https://lh3.googleusercontent.com/a-/ALV-UjWFx8TEY9wUhi4t2zteZycITydIOZc85HTNZFC7mUz6M70=w45-h45-p-rp-mo-ba3-br100;Bimo AP;Positive;seminggu lalu;Sudah tidak seperti waktu awal, mungkin krn sudah banyak saingan, tapi untuk jalan2 bersama keluarga tetap worth it krn parkiran luas, dan mallnya jg bnyk tempat terbuka;0
https://lh3.googleusercontent.com/a-/ALV-UjX7QcH7VEvbCr5ZibiMQWay_ru7FDucQ2yfRLBnRtE_zhI=w45-h45-p-rp-mo-ba4-br100;Tri Julita S;Positive;8 bulan lalu;Konsep mallnya bagus, seger dilihat dan ga bikin bosen. Cocok buat hangout bareng pacar/temen/keluarga. Parkir luas sih tapi masih aja susah cari parkir mobil, mungkin krn kesini pas weekend.;2
https://lh3.googleusercontent.com/a-/ALV-UjVM6a8vVk5nczXiddMr5pftQWH2WqmS770glzFR3vbJhEU=w45-h45-p-rp-mo-ba5-br100;Indra Junior;Positive;11 bulan lalu;Satu dari sekian banyak Mall yang terkenal di Bandung.. Tempat nya nyaman dan luas.. Area Parkir juga banyak..Di dalamnya tersedia outlet dari Brand brand ternama.. Outlet makanan dan minuman pun banyak ragamnya juga tersedia arena bermain …;3
https://lh3.googleusercontent.com/a-/ALV-UjWuxMtsfLC7t1XZa9_Esujx-AHLAD0xrEqW4mU45coPGJc=w45-h45-p-rp-mo-ba3-br100;Susanty Suherman;Positive;4 bulan lalu;Komplit semua barang original brandid kuliner yg beragam pula ... Tempat ngasuh anak gadis ku;0
https://lh3.googleusercontent.com/a-/ALV-UjXx3km_eSIcbwlF7la43SOnh0uQl5AxgJPlOxBjKXsvh6MG=w45-h45-p-rp-mo-ba4-br100;Deni Ramdani;Positive;7 bulan lalu;Ke dibi buat ke tom sushi dan seworth it itu. 240k net buat 4 org kenyang bgt dan bisa cobain berbagai varian rasa sushi huhu cinta bgt;12
https://lh3.googleusercontent.com/a-/ALV-UjXzrsKPvZAvGUXbsW17Kmm8aEi2YKE66CrkewXMeAsdgq7G=w45-h45-p-rp-mo-ba3-br100;Roifilham29;Positive;9 bulan lalu;Konsep bangunannya menarik, tempatnya luas dengan gaya arsitektur yang bervariasi, serta gabungan antara indoor dan outdoor. Untuk ruang outdoor nya sangat asri, banyak pepohonan sekaligus ada atap kaca sehingga tidak takut terkena hujan. …;2
https://lh3.googleusercontent.com/a-/ALV-UjV2P5JedL4BQnBv_oGBjrUh6pgdxaY_Vy4xkgl72DM_pfU=w45-h45-p-rp-mo-ba4-br100;Deeana Dee;Positive;3 bulan lalu;Mall yg unik dengan konsep outdoor, banyak pilihan makanan, toilet bersih, pokoknya kalo ke bandung sempetin kesini 😁 …;0
https://lh3.googleusercontent.com/a-/ALV-UjWC2snDckVqBUrS9F9o3WCtZ6RFY4SHUN2DtomgYn11LQ=w45-h45-p-rp-mo-ba5-br100;Sarjiyan Sip;Positive;5 bulan lalu;Tempatnya luas ..;0
https://lh3.googleusercontent.com/a-/ALV-UjXoiouA8Yth7UEwJmZRd2qN8T3sEwFZdRL36AE0wH3vVdMz=w45-h45-p-rp-mo-ba3-br100;Nastiti Widi Astuti;Positive;sebulan lalu;Keren banget tempatnya, adem, jadi kaya punya vibes tersendiri;0
https://lh3.googleusercontent.com/a-/ALV-UjU4X3ivwfUbSd4q5iO7E9VlLZtHSPcyPX-HSVogHyFIFA=w45-h45-p-rp-mo-ba3-br100;shabrin.na10;Positive;setahun lalu;Iseng main pulang kerja bareng temen, nekat meski waktu sore keadaan hujan. Sampe sana berhenti hujannya, soalnya kelamaan di jalan yang super macet. Sampe sana, lama di Gramedia sampe lupa waktu;0
https://lh3.googleusercontent.com/a-/ALV-UjWvlh08-DxXr3nabQFAYFOa6Ni9_F1lAen08PFMIncz4JI=w45-h45-p-rp-mo-ba3-br100;Yuli Dawami;Positive;4 bulan lalu;"Soal fashion branded semua ada disini, tempatnya  bener"" Oke banget buat hangout bareng temen/keluarga 👍 …";0
